Research on 14 key signature processes for Wholesale Distribution ," There are 14 key signature processes for Wholesale Distribution that make the industry unique. 
 Our approach will be to identify the 2-3 “must have” processes for a meets minimum solution.
",,Pre-Planning,,2015-05-22,
Architecture of hybris-SAP Solution Integration,"The hybris-SAP Solution Integration provides integration between hybris Commerce Suite and the following SAP solutions: 

    SAP ERP
    SAP Customer Activity Repository (SAP CAR) - Optional
    SAP hybris Marketing (formerly SAP Customer Engagement Intelligence, or SAP CEI) - Optional
    SAP Audience Discovery and Targeting (SAP ADT)
    
",,Sprint 0,,2015-07-08,
Solutions/scenarios for SAP hybris integration,Solutions/scenarios for SAP hybris integration.,,Sprint 0,,2015-07-15,
Solr Facet Search Configuration,"Implement facet search on these catalogs using the searchIn Field 
default method in which we have to pass facet name and facet value.",,Sprint 0,,2015-06-12,
Create new cronjobs in hMC,Create new cronjobs in hMC and associate to website,,Sprint 0,,2015-07-21,
R and D on B2B Commerce node (for B2B Unit),"R and D on B2B Commerce node (for B2B Unit)
Understanding B2B unit data model to create a master data for B2b unit",,Sprint 0,,2015-07-16,
Add a new text field in customer creation page in HMC,Create a data model and associate to a new field created in hMC,,Sprint 0,,2015-07-15,
Adding new attributes for product,"Product category is defined based on products classification features
Each Classifying category have different attributes/features.",,Sprint 0,,2015-07-13,
Hybris Accelerators in release 5.5,"Hybris Accelerators in release 5.5 
What are the capabilities of the Accelerators and the differences between all available offerings?",,Sprint 0,,2015-07-08,
Data Hub API for Hybris ,,,Sprint 0,,2015-07-06,
Associate new data model to display in hMC,Associate new data model to display data fields in hMC,,Sprint 0,,2015-07-16,
Create tables for data model provided in the Order to cash PPT,"Create data tables for data model provided in the Order to cash PPT
*Customer Information*
Customer Name 
Account Number 
Phone Number 
E-Mail Id 
Billing Address
Shipping Address
Last Purchase Date
Company Name
Password
*Product Information*
Product Number
Manufacturer Part Number
Product Description
List Price
Available  Quantity
Customer Specific Prices
Customer Number
Product Number
*Customer Specific Price*
Customer Number
Product Number
Customer Specific Price
*Sales Tax
Shipping Charges*
",,Sprint 0,,2015-07-06,
Demo on hybris  5.5 version to Jarnail,"Agenda :
Modified website with new theme
New components on Website
Search with Manufacturer name
Data Model
Classification features
Future stock availability
Variant products
Order form for variant products
Custom Specific Pricing",,Sprint 1,,2015-08-14,
Exploring FlexibleSearch framework,Exploring FlexibleSearch framework concept ,,Sprint 1,,2015-07-22,
Exploring FlexibleSearch syntax /query,Flexible search query with manufacturer name and product code,,Sprint 1,,2015-07-22,
FlexibleSearch ,,,Sprint 1,,2015-07-22,
Create a new catalogs with multiple categories through impex in 5.5 version,"1.Product catalog
2.Classification catalog
3.Content catalog
4.Add categories and products with price , stock and media files
",,Sprint 1,,2015-08-07,
Advanced search functionality with manufacturer name,"By default B2B Advanced search  working with product ID only.
Add manufacturer  name for the search criteria.
",,Sprint 1,,2015-08-06,
Create a new data field in customer data model,Add a new data fields '*First Name*' and '*Last Name*' under '*Users*' in customer creation tab,,Sprint 1,,2015-08-03,
Identify required extensions for B2B accelerator in 5.5,"Identify required extensions for B2B and SAP integration in 5.5 Hybris version
",,Sprint 1,,2015-07-31,
To get product list on website category pages.,"Unable to display product list on website category pages 
Issue related to solrfacetsearch configuration.
",,Sprint 1,,2015-07-29,
Assign new Component to Content Slot through impex,Create a new component and assign that component to content slot through impex,,Sprint 1,,2015-07-29,
Create a product catalog through impex,Create a product catalog through impex,,Sprint 1,,2015-07-28,
Export hmc Configurations ,To Export hmc configurations to csv ,,Sprint 1,,2015-07-22,
Create a Home page with new product catalog,"Follow ticket #61 

Step 1: Create a home page with existing home page template and associate to new content catalog.
Step 2 : Create a components for home page with product images and links for products , added in new product catalog.


",,Sprint 1,,2015-07-22,
Create a new website with new product catalog ,"Create a new website with new product catalog and content catalog


",,Sprint 1,,2015-07-22,
End to end demo on 3rd sep ,,,Sprint2,,2015-09-04,
Customer should able to verify his order history.,,,Sprint2,,2015-08-19,
Apply tax to product in hMC ,,,Sprint2,,2015-08-19,
Product Level Promotions,Product level promotions are activated based upon the products within the line items of a shopping cart or order.,,Sprint2,,2015-07-07,
"Create new data fields ""Manufacturer part number"" & ""Distributor part number""  ","Create new data fields ""Manufacturer part number"" & ""Distributor part number""  for product page under extended attributes tab. 
",,Sprint2,,2015-08-25,
Import and display data of a new field on website,"Import data through impex for newly added data field
Display any one newly added data field on website 
",,Sprint2,,2015-08-19,
Update navigation bar component in new RGC site,"Update navigation bar component - to change ""Redgalaxy tools"" text  to ""Rgc Power Drills"" on new RGC site ",,Sprint2,,2015-08-19,
Advanced search using ‘Distributor Part number’,,,Sprint2,,2015-08-19,
Create a new theme with look and feel of GrayBar website.,,,Sprint2,,2015-08-19,
Advanced search with ‘Manufacture Part number’,,,Sprint2,,2015-08-19,
"Login with either phone number , email or name",,,Sprint2,,2015-08-19,
Remember cart for customers,,,Sprint2,,2015-08-19,
 Solr facet search configuration,,,Sprint2,,2015-07-27,
Create a variant products,Create a variant products in new product catalog in 5.5 hybris through impex,,Sprint2,,2015-08-07,
Solr Search issue to get search results in 5.5 version,"Created a new website but unable to display search results on category pages
",,Sprint2,,2015-08-17,
Hybris Demo on 25th sep,,,Sprint3,,2015-09-25,
Create cross selling products carousel  ,Create cross selling products carousel  and add to product details page,,Sprint3,,2015-09-15,
Multi level checkout process with Card payment,,,Sprint3,,2015-09-14,
Hybris preconfigured solution demo - Sep10th ,"*Demo Agenda*
1.	Home page 
2.	Customizations - Theme , images , links ,bulk order pad
3.	Navigation bar – product list and filter
4.	Advanced search with MPN , DPN ( extended data model )
5.	Product details
6.	Login – Extended for Email and phone number
7.	Customer specific pricing
8.	Future availability 
9.	Variant products and Order form 
10.	Bulk order pad 
11.	View cart/Checkout  page 
12.	Order level promotion and Tax  ,Delivery charge
13.	Multilevel checkout ( card payment)
14.	My account – order history
15.	Reorder
16.	Schedule Replenishment

",,Sprint3,,2015-09-11,
"Unique string validation for MPN, DPN,Email,Phone number ","Apply unique validation for following fields 
Manufacturer Part Number
Distributor Part Number
Email ID
Phone Number
",,Sprint3,,2015-08-28,
Order Level Promotions,Order level promotions are activated based upon shopping cart or order attributes.,,Sprint3,,2015-07-07,
Redeem Voucher while checkout - Hybris 5.5 automatic voucher deduction,Redeem Voucher while checkout,,Sprint3,,2015-07-07,
Feedback - Remove all RGC and Grainger names from site,,,Sprint3,,2015-09-04,
"Feedback- Change look and feel, logo and images",,,Sprint3,,2015-09-04,
"Product creation in hMC with unique Code, MPN and DPN ",,,Sprint3,,2015-09-04,
Schedule replenishment,,,Sprint3,,2015-09-04,
Bulk order pad validation for invalid order number.,,,Sprint3,,2015-09-04,
Hybris Mobile pages UI with SAP UI5,Working with Kishan team to get hybris b2b page view.,,Sprint4,,2015-10-26,
SAP Cloud connector & SAP UI5 for Mobile pages,"Work with Kishan team
Install and Verify data in mobile pages. ",,Sprint4,,2015-10-19,
B2B Order Process,,,Sprint4,,2015-05-23,
(Jarnail) Email configuration for forget password and Order confirmation ,"Snippet sent by Jarnail-
""Customers forget their Id's and passwords. We will need the capability to give them their Id and let them re-set their password.""",,Sprint4,,2015-09-04,
Bulk order pad validation for order numbers having no stock and popup with suitable products,"For out of stock ,raise a popup with suitable products  and future availability",,Sprint4,,2015-09-04,
Issue - Price differences in site (server system),"For some products Price is not matched with either default or customer specific 
And also in cart it showing one price , product details another price.
",,Sprint4,,2015-09-14,
Chat integration ,Chat box feature for end users,,Sprint4,,2015-09-14,
Fiori - Product details page-Add To Cart functionality,"Steps to Reproduce:
1.Open the ABC B2B online shopping app
2.Select the tool from menu bar(eg: power drills)
3.Select the product
4.Click on Add to cart button

Issue: when click on Add to cart button , page is redirecting to cart details page but product is not getting added to cart",,Sprint5,,2015-11-03,
"Fiori(Issue)-list of product page-After adding product to cart ,page is not redirecting to cart details page","Steps to reproduce:
1.Open the app
2.Select category from menu( eg: sanders)
3.Click on Add to cart button 

Issue : Page is not redirecting to cart details page
",,Sprint5,,2015-11-05,
HybrisMobile- Add to cart on product details page,,,Sprint5,,2015-11-08,
HybrisMobile - Menu functionality in home page,,,Sprint5,,2015-11-08,
Fiori(Issue)List of products page-Search field-Accepting text and numbers in reverse,"Steps to reproduce:
1.Open the  ABC B2B online shopping app
2.Select the tool from menu bar
3.Type the item no. in search field (search the product by item no.)

Issue: search field taking the number and text from right to left (backward direction)

",,Sprint5,,2015-11-03,
Fiori- Full text search,"Mobile text search - search with product code , Name",,Sprint5,,2015-11-02,
Fiori - UI issues on product list page,Navigation links,,Sprint5,,2015-11-02,
Login page Forgot password link,"Forgot password is out of box functionality available with Hybris
On clicking ""Forgot password"" link , it provides email with link to update password.
Issue - Update password is not working",,Sprint5,,2015-11-02,
Fiori - Products under 'Our best selling products' component  should navigate to product details page,,,Sprint5,,2015-11-02,
Fiori - Product details page text is not responsive,,,Sprint5,,2015-10-28,
Fiori - More space between header and content in cart page,,,Sprint5,,2015-10-27,
Components in header should be separated out,"In current design, links like shopping cart, home page are repeated across pages.
They need to be reusable.

For e.g. on click of shopping cart link on any page should execute same function/method. The function/method should not be copied to each page.",,Sprint5,,2015-10-26,
Fiori - Selected category in menu must be used in products list page. (Right now its hard coded).,,,Sprint5,,2015-10-26,
Create login page in SAPUI5(Fiori),,,Sprint5,,2015-10-26,
Hybris b2b mobile page templates,,,Sprint5,,2015-10-26,
R& D on hybris mobile page view,,,Sprint5,,2015-10-26,
Foiri(issue)- Page Alignment issues,"Test to reproduce :
1.open the app  both in desktop and iphone4
2.Observe homepage , View Profile page after login , Checkout page 

Issues -
A.Home page : 
1.Twice 'My account' button is displayed on home page.
2.Desktop view , Search bar is too long and overlapping with scroll bar 
3.In iphone4 on homepage ,Unable to view Order history and My account buttons 
4.In iphone 6 on home page . account name icon is overlapping with logo 

B.View Profile page :
1.Title of the page
2.Spacing between content and heading
3.Click on 'Change Password' and observe that no spacing between the buttons in Update password page and text box alignment is not proper
4.Click on 'Update personal details and observe that no spacing between the buttons 'save updates' & 'cancel' and title is not getting updated

C.Address Book page
1.Click on address book from My account their 'Address are not displayed properly.

D.Checkout page page
1.In mobile view , 'View Address' button is not completely displayed.
2.Select payment type and Delivery method is not aligned to the center
3.In 'select delivery method' popup ,when option selected a dotted box is displaying

",,Sprint 6,,2015-11-23,
Fiori - View user profile page, ,,Sprint 6,,2015-11-24,
Fiori - Duplicate Menu items on header,,,Sprint 6,,2015-11-24,
Fiori - Order History Functionality,View User previous orders in order history,,Sprint 6,,2015-11-24,
"Fiori - Once user login , user name should display on header",,,Sprint 6,,2015-11-24,
Hybris Mobile - View Cart page,"View cart page should have all the products added to cart , quantity,sub total , tax , delivery charges, promotions and Total
Checkout and Continue shopping buttons at bottom",,Sprint 6,,2015-11-24,
Fiori - Test case senarios,"Test case senarios for
Home page
Product list
Product details
Login
Checkout
Place order
",,Sprint 6,,2015-11-23,
"Retesting Hybris Fiori Home page , product list , Product details",,,Sprint 6,,2015-11-23,
Fiori - Login webservice,,,Sprint 6,,2015-11-23,
Fiori - Edit/Remove Address,,,Sprint 6,,2015-11-30,
Fiori- Add and save user address details while check out.,,,Sprint 6,,2015-11-23,
Fiori - User Login service,"User should login from Fiori mobile app using hybris b2bcustomer credentials .
Login validation.",,Sprint 6,,2015-11-10,
Fiori - Place order and check out screens,"Create screens for bellow :

Add address
select  payment mode
Add card details
Select delivery mode",,Sprint 6,,2015-11-10,
Fiori - Web service for retrieving user data,"Saved user data like
Address
Card details",,Sprint 6,,2015-11-23,
Fiori - Place order functionality,,,Sprint 6,,2015-11-10,
fiori(issue)-Prevent alert popup issue  ,"Steps to reproduce:
1.Open the app
2.Click on My account button
3.Enter username and password(eg: Username : venki.787@gmail.com ,Password:1234)
4.Click on login button

Issue : Prevent alert popups are displaying

Note : while adding product from list of product page , alert popup is displaying.",,Sprint 6,,2015-11-23,
Web service - Get the all saved credit card details by the User,,,Sprint 7,,2015-11-27,
fiori(issue)-For products are which are not in stock then 'Add to cart button' should get disable ,"Steps to reproduce:
1.Open the App
2.Select the category (ex:Sanders)
3.Choose the product where product quantity available is zero.(ex:	Item# 3884600) 

Issue: 1.'Out of Stock ' alert should be displayed
             2.Add to cart button is in enable mode

",,Sprint 7,,2015-12-17,
Fiori(issue)-Issues in Checkout page and in order history page,"DELIVERY ADDRESS POPUP
Issue 1 : After click on 'Save and use this address ' button Delivery address pop up window is not getting closed
Steps to reproduce :
1.Open the app
2.Click on My account button
3.Login by entering username and password(eg: Username : fiori_test@charterglobal.com ,Password:1234)
4.Add products to cart from product list page
5.Navigate to checkout page from cart details page
6.Click on 'Edit delivery address' button
7.Enter details in the fields and click on Save and use this address.

Note : Here address details are inserting in database but not dispalying in address book


PAYMENT DETAILS POPUP 
Issue : 2. After click on 'Save' button ,Payment details popup is not getting closed
             3.In payment details popup , not accepting all card types and showing prevent alert popup's 
Steps to reproduce :
1.Open the app
2.Click on My account button
3.Login by entering username and password(eg: Username : fiori_test@charterglobal.com ,Password:1234)
4.Add products to cart from product list page
5.Navigate to checkout page from cart details page
6.Click on 'Edit payment details' button
7.Enter card details not billing address details and click on 'save' button.

Note : Here payment details are not displaying in front end 

ORDER HISTORY PAGE
Issue : 3.Not displaying all place ordered details 
Steps to reproduce :
1.Open the app
2.Click on My account button
3.Login by entering username and password(eg: Username : fiori_test@charterglobal.com ,Password:1234)
4.Add products to cart from product list page
5.Navigate to checkout page from cart details page
6.Click on 'Edit delivery address' button and enter the details
7.Click on 'Edit payment details' button and enter the details.
8.Click on 'Place order' button 
9.Click on Order history button from My account 
10.Repeat the above 8 steps and create some place orders and check order history page





",,Sprint 7,,2015-11-25,
fiori(issue)-Product details page-Field name is not mentioned as 'Quantity',"Step to reproduce:
1.Open the hybris app
2.Choose category from menu (ex:screwdriver)
3.Select the product from the product list

Issue : In product details page, 'Quantity' field name is not mentioned as 'Quantity'
           
",,Sprint 7,,2015-12-21,
fiori(issue)-'Quantity' field is missing on 'Add to cart' popup ,"Steps to reproduce:
1.Open the app
2.Choose category from menu (ex:screwdriver)
3.Select the product and click on 'Add to cart' button from product details page.


Issue : Quantity field is missing in Add to cart popup window ",,Sprint 7,,2015-12-17,
Fiori Credit Limit Utilization ,,,Sprint 7,,2015-12-22,
fiori(issue)-Checkout-Address pop up window is not displaying after click on Edit delivery address,"Steps to reproduce :
1.Open the app
2.Click on My account button
3.Login by entering username and password(eg: Username : fiori_test@charterglobal.com ,Password:1234)
4.Select category from menu(ex:screw driver)
5.Select product (item no :3755211) and then click on add to cart button .
6.Click on view cart 
7.Click on check out button and Edit delivery address button",,Sprint 7,,2015-12-16,
"fiori(issue)-Cart details page -Quantity field accepting alphabets , special character .","Steps to reproduce:
1.Open the app
2.Select the category from menu(ex:sander)
3.Select the product from the list and add product to the cart
4.Select the another product
5.Enter alphabets in quantity field
6.Click on add to cart button and checkout from popup

Issue : 1.Quantity field accepting alphabets , special character
              2.Cart count becoming zero ,but products are displaying cart details page  ",,Sprint 7,,2015-12-16,
Fiori build deployed  # HybrisPCS_12162015,Test Cart count and UI changes for order history and Order details page,,Sprint 7,,2015-12-16,
Login UI Changes- fiori app,,,Sprint 7,,2015-12-15,
Demo to Client - RamTool,"Preparation for demo
Change Banner image , Logo , add footer link",,Sprint 7,,2015-12-15,
Preparing Estimates to create a new b2b website with default Hybris features.,,,Sprint 7,,2015-12-14,
Fiori - Regression testing 001,Build date - 12/10/2015,,Sprint 7,,2015-12-10,
Cockpit level permissions to user type Employee,"All employees should not have permissions to all data.
Like product management employee should have read,write and change access to product cockpit, where content management employees should not have write/change permissions.",,Sprint 7,,2015-12-17,
R & D - Create a Cockpit Perspective Restriction ,"Applications that are based on hybris cockpit framework, such as the Product Cockpit, the WCMS Cockpit, the Import Cockpit, can be easily customized. One of customization mechanism is the perspective restriction that manage the visibility and access rights of a particular perspective.",,Sprint 7,,2015-12-22,
Exploring on Product level segmentation for user/Customer.,"User segmentation - specifying catalog , products , website to users",,Sprint 7,,2015-12-09,
Solr errors in console,"Once we start Hybris server , Solrfacetsearch exceptions are showing in console related to Apparel and Electronics stores.
",,Sprint 7,,2015-12-09,
Fiori (Issue) - Order History page view is not user friendly,Alignment is not good.,,Sprint 7,,2015-12-08,
Fiori(issue)  Caching dispalying 304 status code,"Unable to clear cache , to display updated data 
",,Sprint 7,,2015-12-08,
Display product count with cart icon,"Cart icon on header should display count of products added
Note - Products count is different with quantity of products
3 items in cart means 3 different items and of different quantities .
",,Sprint 7,,2015-11-10,
Fiori(issue)-Product name is not displaying for some products in product details page ,"Steps to reproduce:
1.Open the app
2.Select category from menu 
3.Select the product from product list(power drills - 3883690 , 3881427 , 3883696, 3881417
screw driver - 3755207, 3794609,3881014 , 3881076 , 3881074, 321654DD
sanders - 3592865)

Issue:Product name is not displaying in product details page

Observation : Under screw driver category , image is not displaying for item no.321654DD ",,Sprint 7,,2015-12-03,
Fiori - Change quantity on product details page,Add text field to change quantity on product details page,,Sprint 7,,2015-11-30,
Fiori - User Address book ,,,Sprint 7,,2015-11-23,
Fiori - Add and save payment card details,,,Sprint 7,,2015-11-23,
Fiori - Remove product from cart,"On clicking the remove link product should be removed from cart , and count with cart icon should reduce.",,Sprint 7,,2015-11-10,
Fiori(Issue)-Delivery address -View Address Book button ,"Steps to Reproduce:
1.Open the app
2.Click on My account button
3.Login by entering username and password(eg: Username : fiori_test@charterglobal.com ,Password:1234)
4.Add products to cart from product list page
5.Navigate to checkout page from cart details page
6.Click on 'Edit delivery address'
7.Click on view address button
8.Click on cancel button from address book popup 
9.Now again repeat steps 6 ,7

Issue : Address book popup is not displaying when click on 'view address book ' button for second time
",,Sprint 7,,2015-12-02,
Stock level update after the Place Order using Credit Card Payment,Code changes to update the Stock level after the order is placed using Credit Card Payment.,,Sprint 8,,2016-01-07,
OMS,"OMS in Hybris PCS. This ticket involves are the child tickets involved to get the Order management in Hybris.

Note- This integration is required to validate existing UPS services provided by Hybris.",,Sprint 8,,2015-12-29,
Fiori - Abandoned cart,Cart should remember products though customer logout with out placing order.,,Sprint 8,,2015-12-21,
Fiori- Order details in the Order History,"When selecting Order History when selecting an Order- On the Order details page the Delivery address, Delivery Method and the Payment details are coming blank.",,Sprint 8,,2015-12-28,
Display the Cost Center dropdown details in the Fiori app,"Create the UI for the Cost Center dropdown when using the Account Payment option during checkout.

Note- This is dependent on ticket- #225 - Service for the Cost Center details",,Sprint 8,,2015-12-28,
Service for the Cost Center details,Create a web service for the Cost Center when using the Account Payment option during checkout.,,Sprint 8,,2015-12-28,
Fiori App- Delivery Method for the Account Payment option,Create the UI in the Fiori App for the Delivery Method.,,Sprint 8,,2015-12-28,
